geneName	comGeneName	iE4	iE5	iE6	iE7	iE8	iE9	iE10	iE11	iE14	iE15	iE18	iE19	iE21	iE22	iE23	iE25	iE30	iE35	iE39	iE48	iE50	iE51	iE52	iE55	iE57	iE58	iE59	iE62	iE65	iE69	iE73	iE74	iE75	iE77	iE78	iE79	iE80	iE82	iE83	iE84	iE86	iE87	iE88	iE91	iE92	iE93	iE94	iE95
YKL191W	DPH2	1.50763009035286	1.27326635119669	6.60256177770479	1.70104159486021	1.43778205966237	2.0273073423818	0	2.70493605753379	1.95750592946081	2.72148710081339	0.6578150706018	1.82649671795701	3.57233607276501	2.84883398823053	2.13188700410519	2.96791085585853	1.35813095916316	6.38285649728449	0	2.02812894557932	1.96181044493159	0.871502776899369	1.80306209421394	2.16501609146258	2.35567567287637	3.36708099068842	0	0	2.55732911492901	3.44827835972699	2.03477438339568	1.59324743240663	2.58573410856375	0	2.84244920658888	3.69814329193943	3.81221812194018	3.75180701036935	6.0347369015074	2.33772200682181	3.83955062024542	2.93344139280227	0	1.5582977743085	0	3.36039549827822	6.42230319559707	4.99397705024531
YKL190W	CNB1	3.01526018070573	5.09306540478677	0	1.70104159486021	2.87556411932475	5.57509519154994	3.26754053627292	2.70493605753379	4.8047872814038	0	0.6578150706018	5.47949015387104	5.95389345460834	5.69766797646106	5.32971751026297	1.48395542792927	5.43252383665266	7.44666591349857	18.7304853423005	7.0984513095276	5.88543133479478	1.74300555379874	0.901531047106972	5.10325221559037	4.71135134575273	1.68354049534421	2.97818260045498	0	3.58026076090061	6.89655671945397	2.54346797924459	4.77974229721988	0.861911369521251	1.03890982251996	4.26367380988333	0.924535822984857	4.76527265242523	4.68975876296168	3.0173684507537	3.89620334470302	1.27985020674847	4.56313105547019	1.61275440496768	4.53322988889747	0	4.20049437284777	3.21115159779853	2.49698852512266
YKL189W	HYM1	1.50763009035286	0.636633175598346	0	0	0	1.52048050678635	0	0	1.06773050697862	0	1.3156301412036	1.82649671795701	1.19077869092167	1.42441699411526	0	0	1.35813095916316	1.06380941621408	0	0	0	0	1.80306209421394	0.463932019599124	0	0	0	0	0.511465822985802	0	0	0	0	0	0	0.924535822984857	0	0	0	0.779240668940604	0	0.325937932533585	1.61275440496768	0.566653736112183	0	0	0	0
SUT223	SUT223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.35813095916316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SUT224	SUT224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SUT225	SUT225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YKL185W	ASH1	1.50763009035286	0.636633175598346	11.004269629508	0	0	0	0	9.46727620136828	2.13546101395724	0.907162366937797	0	1.82649671795701	0	1.42441699411526	1.59891525307889	0	0	2.12761883242816	0	0	0.490452611232898	0	1.80306209421394	2.47430410452866	3.92612612146061	0.841770247672104	2.97818260045498	6.33698010066798	2.04586329194321	0	0.508693595848919	1.59324743240663	0	1.03890982251996	2.3687076721574	0.924535822984857	0.476527265242523	3.75180701036935	3.0173684507537	4.67544401364363	6.39925103374237	0.977813797600756	0	1.5582977743085	0	0	0	0
YKL184W	SPE1	1.50763009035286	1.90989952679504	0	1.70104159486021	1.43778205966237	2.0273073423818	0	0	2.49137118295012	3.62864946775119	2.6312602824072	0	1.19077869092167	1.42441699411526	2.13188700410519	0	5.43252383665266	2.12761883242816	3.12174755705009	1.01406447278966	2.45226305616449	1.74300555379874	5.40918628264183	2.78359211759475	0.785225224292122	0.841770247672104	0.992727533484992	0	3.06879493791481	0	2.03477438339568	4.77974229721988	0	1.03890982251996	1.42122460329444	2.77360746895457	1.90610906097009	0.937951752592337	0	3.11696267576242	0	4.88906898800378	1.61275440496768	1.41663434028046	1.87027359858801	0.840098874569555	4.28153546373138	0
YKL183W	LOT5	2.26144513552929	1.27326635119669	4.40170785180319	0.850520797430105	0	2.0273073423818	3.26754053627292	1.3524680287669	0.711820337985748	4.53581183468898	0.6578150706018	0	0	0	1.59891525307889	4.4518662837878	0	3.19142824864224	0	2.02812894557932	1.47135783369869	1.74300555379874	0.901531047106972	0.927864039198248	0.785225224292122	0.841770247672104	2.97818260045498	0	0.511465822985802	6.89655671945397	0.508693595848919	0	0	1.03890982251996	0.473741534431481	1.84907164596971	0.953054530485046	0	3.0173684507537	0.779240668940604	6.39925103374237	1.95562759520151	0	1.69996120833655	1.87027359858801	0.840098874569555	0	0
YKL182W	FAS1	10.55341063247	13.3692966875653	13.2051235554096	6.80416637944084	21.5667308949356	4.05461468476359	3.26754053627292	13.524680287669	15.6600474356865	17.2360849718181	8.5515959178234	12.7854770256991	17.861680363825	15.6685869352679	9.06051976744705	10.3876879955049	13.5813095916316	17.0209506594253	24.9739804564007	10.1406447278966	6.86633655726057	6.97202221519495	10.8183725652837	18.2479927708989	20.4158558315952	11.7847834674095	11.9127304018199	19.010940302004	14.8325088665883	20.6896701583619	7.63040393773378	12.745979459253	12.0667591732975	18.7003768053593	18.9496613772592	13.8680373447729	12.3897088963056	20.6349385570314	15.0868422537685	15.5848133788121	15.3582024809817	11.7337655712091	14.5147896447092	8.92479634376688	16.8324623872921	10.0811864948347	13.914990257127	2.49698852512266
YKL181W	PRS1	4.52289027105859	3.81979905359008	8.80341570360639	5.10312478458063	7.18891029831187	4.05461468476359	3.26754053627292	1.3524680287669	5.87251778838242	4.53581183468898	3.9468904236108	5.47949015387104	7.14467214553001	1.42441699411526	4.26377400821037	7.41977713964633	10.8650476733053	7.44666591349857	6.24349511410017	5.07032236394829	3.92362088986318	2.61450833069811	6.3107173297488	6.95898029398686	3.14090089716849	3.36708099068842	2.97818260045498	0	3.58026076090061	13.7931134389079	4.06954876679135	9.55948459443976	5.17146821712751	5.1945491125998	5.68489841317777	2.77360746895457	4.76527265242523	5.62771051555402	0	4.67544401364363	5.1194008269939	5.21500692053737	8.06377202483842	5.24154705903769	5.61082079576404	1.68019774913911	6.42230319559707	4.99397705024531
YKL180W	RPL17A	24.1220814456458	22.2821611459421	39.6153706662287	32.319790302344	37.3823335512217	31.9300906425133	6.53508107254585	40.5740408630069	32.3878253783515	41.7294688791386	25.6547877534702	27.3974507693552	22.6247951275117	41.3080928293427	34.6431638167093	37.0988856982316	31.2370120607528	36.1695201512788	37.460970684601	29.4078697109001	31.8794197301384	20.9160666455848	32.455117695851	38.1970696136612	27.4828828502243	26.9366479255073	28.7890984710648	19.010940302004	36.8255392549777	31.0345052375429	34.5911645177265	25.491958918506	37.0621888894138	28.0505652080389	31.7406828069092	24.9624672205912	29.0681631797939	24.3867455674008	12.0694738030148	31.1696267576242	33.2761053754603	29.3344139280227	24.1913160745153	37.257483149376	24.3135567816442	26.8831639862257	32.1115159779853	19.9759082009813
SUT226	SUT226	0	0	0	4.25260398715052	0	0.506826835595449	0	2.70493605753379	0.533865253489311	0.907162366937797	1.3156301412036	0	2.38155738184334	1.42441699411526	0.532971751026297	0	0	1.06380941621408	0	0	0.980905222465796	0.871502776899369	1.80306209421394	0.927864039198248	0	1.68354049534421	0	0	1.53439746895741	0	1.01738719169784	1.59324743240663	0.861911369521251	0	0	1.84907164596971	1.90610906097009	0	3.0173684507537	0	2.55970041349695	1.30375173013434	1.61275440496768	0.991644038196321	1.87027359858801	0	0	0
